hcpcs_code,hcpcs_description,total_services_count,avg_payment,num_providers
99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",102377857.0,79.29,498045
A0425,"Ground mileage, per statute mile",98427740.9,7.97,8929
Q9967,"Low osmolar contrast material, 300-399 mg/ml iodine concentration, per ml",95202152.6,0.1,11573
J1010,"Injection, methylprednisolone acetate, 1 mg",74842825.5,0.1,16352
J2403,"Chloroprocaine hcl ophthalmic, 3% gel, 1 mg",73288310.0,0.51,187
99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",67927936.1,55.61,457569
97110,"Therapy procedure using exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",63068530.2,17.49,83101
J0717,"Injection, certolizumab pegol, 1 mg (code may be used for medicare when drug administered under the direct supervision of a physician, not for use when drug is self administered)",61165045.0,3.6,958
A9575,"Injection, gadoterate meglumine, 0.1 ml",53453860.9,0.09,3298
J2777,"Injection, faricimab-svoa, 0.1 mg",53010858.0,27.25,2436
