provider_state,num_providers,avg_payment,min_payment,max_payment
AK,1296,96.44,17.23,133.34
DC,1413,92.32,36.96,123.53
NJ,14316,91.44,10.52,126.02
CA,39670,90.49,0.0,133.29
NY,31514,89.05,6.35,126.02
AE,16,88.44,71.02,105.49
CT,6765,87.09,0.0,125.59
FL,34332,83.91,0.0,121.95
MD,10691,82.59,7.36,125.36
PR,478,81.95,27.05,104.27
MA,15837,81.75,12.38,122.72
IL,19137,81.64,5.72,121.7
WA,11083,81.12,5.25,127.3
NV,3834,80.22,1.66,115.49
HI,1517,79.81,7.63,130.58
AZ,10888,79.47,5.4,128.65
GU,103,79.41,19.82,108.65
TX,34254,79.18,0.0,122.87
VA,13484,78.98,0.0,121.79
GA,14423,78.98,0.77,124.21
DE,1917,78.71,31.02,112.92
RI,2041,78.51,17.22,122.43
WY,809,78.15,30.14,118.41
CO,8533,78.0,13.16,134.88
PA,23928,77.96,7.93,123.14
MN,10516,77.44,0.0,127.82
XX,10,77.42,48.18,107.46
SC,8578,77.09,4.88,121.31
UT,4377,75.86,6.76,112.0
OR,6292,75.55,5.7,120.3
VI,79,74.64,29.64,100.73
IN,10816,74.5,0.21,120.86
ZZ,13,74.43,35.41,100.57
NC,18704,74.35,0.02,121.31
MI,15653,74.33,5.79,121.68
NH,3194,74.03,24.16,116.4
AP,14,73.74,41.57,94.28
TN,11774,73.6,4.95,134.74
MO,9243,73.39,0.0,115.59
LA,6877,72.96,6.51,110.84
KY,7388,72.9,7.39,113.98
AL,7517,72.57,0.0,115.85
WI,10137,71.66,9.72,116.06
MT,1858,71.55,15.04,125.5
OK,5827,71.49,10.53,113.11
KS,4457,71.21,12.72,113.56
NM,2773,71.17,0.0,120.45
IA,4805,71.09,6.81,111.83
MS,4188,71.06,2.48,105.89
OH,20546,70.52,0.0,125.7
NE,3315,70.5,11.52,109.57
AR,4441,69.67,5.14,116.4
WV,2775,68.83,10.76,114.27
VT,990,68.33,7.69,113.86
SD,1664,68.21,22.65,103.23
AA,3,68.19,54.89,75.34
ID,2811,67.97,20.97,111.06
ND,1518,66.62,0.0,108.81
ME,2608,65.41,11.87,120.4
MP,5,62.4,43.86,82.86
