hcpcs_code,hcpcs_description,total_services,avg_payment
A0425,"Ground mileage, per statute mile",97313468.7,7.86
Q9967,"Low osmolar contrast material, 300-399 mg/ml iodine concentration, per ml",94743320.2,0.1
J2403,"Chloroprocaine hcl ophthalmic, 3% gel, 1 mg",73288310.0,0.51
J1010,"Injection, methylprednisolone acetate, 1 mg",72515384.0,0.1
J0717,"Injection, certolizumab pegol, 1 mg (code may be used for medicare when drug administered under the direct supervision of a physician, not for use when drug is self administered)",61165045.0,3.6
A9575,"Injection, gadoterate meglumine, 0.1 ml",53367655.4,0.09
J2777,"Injection, faricimab-svoa, 0.1 mg",53003777.0,27.25
P9603,Travel allowance one way in connection with medically necessary laboratory specimen collection drawn from home bound or nursing home bound patient; prorated miles actually travelled,49449514.9,1.08
J0897,"Injection, denosumab, 1 mg",47593301.0,20.26
J0585,"Injection, onabotulinumtoxina, 1 unit",46351542.9,4.87
